ID	logFC	entrezID
IGLV1-36	4.805414642	28826
IGLV1-40	4.724037718	28825
IGLV1-44	3.862411266	28823
IGLV1-47	4.392325042	28822
IGLV1-50	3.452627639	28821
IGLV1-51	4.330016499	28820
IGLV10-54	4.566348272	28772
IGLV2-11	4.072093934	28816
IGLV2-14	4.10903855	28815
IGLV2-18	4.237025297	28814
IGLV2-23	4.621885514	28813
IGLV2-8	3.476728965	28817
IGLV3-1	4.437945665	28809
IGLV3-10	4.153976365	28803
IGLV3-12	4.503209831	28802
IGLV3-16	4.224068864	28799
IGLV3-19	4.595742852	28797
IGLV3-21	5.794223821	28796
IGLV3-25	4.516906388	28793
IGLV3-27	5.38174719	28791
IGLV3-9	5.560098898	28804
IGLV4-69	4.601396332	28784
IGLV5-37	5.026647155	28783
IGLV5-45	4.652011684	28781
IGLV5-48	4.181594217	28780
IGLV5-52	-2.179108045	28779
IGLV6-57	4.929304692	28778
IGLV7-43	4.108826521	28776
IGLV7-46	4.038062518	28775
IGLV8-61	4.979574032	28774
IGLV9-49	4.390504577	28773
C5	-2.253182222	727
SEMA3A	3.174478483	10371
SEMA3C	2.925098806	10512
SEMA3E	2.264162547	9723
SEMA6D	-2.394559985	80031
SEMA7A	3.443661841	8482
TNC	2.750420339	3371
CXCR3	3.033123796	2833
CXCR5	-2.991786539	643
CYSLTR2	2.435213075	57105
EDNRA	3.282563975	1909
PLAUR	2.804392679	5329
PTAFR	2.673472519	5724
AGRP	3.275637896	181
AGT	3.546565513	183
ANGPTL7	2.25271224	10218
APLN	2.888134927	8862
AREG	3.636714643	374
BMP4	2.709829614	652
BMP7	2.132585821	655
CALCB	-3.131686797	797
CCK	2.747723551	885
CD70	3.961815948	970
CGA	-3.095180093	1081
CGB3	7.20764612	1082
CGB5	9.55373297	93659
CGB8	6.701034092	94115
CHGB	2.889516004	1114
CLEC11A	2.286413576	6320
CMTM3	2.490793069	123920
CSF2	5.247449293	1437
CCN2	2.329864526	1490
DKK1	4.667979727	22943
EGF	-4.137928273	1950
EPO	-3.31662244	2056
EREG	4.143490982	2069
ESM1	3.589155021	11082
FAM3B	-2.255768058	54097
FAM3D	4.86341416	131177
FGF1	2.528733186	2246
FGF12	-2.586024458	2257
FGF17	-2.532319566	8822
FGF18	2.431990752	8817
FGF19	6.082998007	9965
FGF20	2.468396872	26281
GAST	9.121723576	2520
GDF10	-3.380478739	2662
GH1	-6.58915722	2688
GIP	8.319166522	2695
GPHA2	-2.958178651	170589
GREM1	3.016413424	26585
GREM2	3.036202047	64388
HBEGF	2.370993542	1839
IFNE	4.535404528	338376
IFNK	-7.920580414	56832
IL11	2.827782867	3589
IL1RN	3.503857183	3557
IL24	2.160758904	11009
INHBA	4.423040709	3624
INS-IGF2	-5.305507625	723961
INSL3	2.150136113	3640
FGF7P6	-5.064892656	387628
KL	2.350737507	9365
LIF	3.124047218	3976
LTB	2.096624095	4050
LTBP2	2.420506578	4053
MDK	2.734459627	4192
MIA	3.469599508	8190
NDP	3.966857027	4693
NPPA	-3.338103569	4878
NRG2	-2.139260614	9542
NRG3	3.761398584	10718
NRG4	-4.089293427	145957
NTF4	3.642765843	4909
NTS	5.805664049	4922
NUDT6	-2.319527426	11162
OGN	2.010883762	4969
OSM	2.574379652	5008
PNOC	2.721147722	5368
POMC	-2.420408897	5443
PRL	-4.999795831	5617
PTHLH	2.555092854	5744
REG1A	-2.556209079	5967
RETN	2.193247281	56729
SCG2	3.27434316	7857
SCT	3.746538001	6343
STC1	2.219922668	6781
TG	-2.755767378	7038
TNFRSF11B	3.029562391	4982
TNFSF15	3.01852128	9966
TNFSF9	4.414987108	8744
UCN2	4.029142201	90226
UCN3	2.93317082	114131
VEGFC	2.214340278	7424
AMHR2	-3.935485738	269
ANGPTL2	2.611409562	23452
APLNR	2.712063429	187
CRHR2	-2.697453986	1395
CSF2RB	2.228487286	1439
ESR2	-2.592133809	2100
FGFR1	-2.462270215	2260
IL12RB2	-3.418128264	3595
IL13RA2	3.626929789	3598
IL2RB	2.37147029	3560
IL1R2	2.398727367	7850
IL20RB	3.385106364	53833
IL21R	2.303860282	50615
IL22RA1	-2.043377654	58985
IL2RA	3.681506444	3559
IL2RG	3.671357055	3561
LGR5	4.235799058	8549
LGR6	3.916456063	59352
MET	2.59291307	4233
NPR3	2.763254542	4883
NR1I2	3.222415204	8856
NRP2	2.494736543	8828
OXTR	3.03759158	5021
PTGER2	2.845307118	5732
SDC1	3.734127943	6382
SDC4	2.36835869	6385
SSTR2	2.584817506	6752
TNFRSF17	2.879729367	608
TNFRSF18	2.932129395	8784
TNFRSF1B	2.129426988	7133
TNFRSF21	3.140641022	27242
TNFRSF9	2.414027206	3604
VIPR2	-3.889708727	7434
LCK	2.65690237	3932
FCGR3A	2.265035293	2214
NCR3	2.308804219	259197
LAT	-4.054431182	27040
SHC2	-2.349056551	25759
SH2D1A	2.710889034	4068
CD3D	2.574313596	915
CD3E	2.048527153	916
CD3G	2.01588717	917
PAK6	-3.916578839	56924
CD28	2.89281173	940
ICOS	2.962387282	29851
CTLA4	2.899946957	1493
TRAC	2.386090693	28755
TRAV2	2.846293424	28691
TRAV4	3.050332645	28689
TRAV8-2	3.21705294	28684
TRAV8-3	3.626640245	28683
TRAV8-4	3.126736042	28682
TRAV8-6	2.918948951	28680
TRAV9-2	3.522748325	28677
TRAV12-1	3.214658529	28674
TRAV12-2	2.986309644	28673
TRAV12-3	2.933710949	28672
TRAV13-1	3.25041068	28671
TRAV13-2	3.086202551	28670
TRAV17	3.213834964	28666
TRAV19	2.854287283	28664
TRAV21	2.89715338	28662
TRAV29DV5	3.045945523	28653
TRBC2	2.425168988	28638
TRBV2	3.269759209	28620
TRBV3-1	2.710769736	28619
TRBV4-2	2.541998626	28616
TRBV5-6	2.659954228	28609
TRBV7-9	2.869902613	28589
TRBV9	2.580402562	28586
TRBV10-3	2.506043531	28583
TRBV12-4	2.132903213	28576
TRBV18	3.035921651	28569
TRBV19	2.976784426	28568
TRBV20-1	2.892493961	28567
TRBV28	3.7166548	28559
