ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0050900	leukocyte migration	102/425	499/18670	1.55396741113501e-68	5.1718860837866e-66	3.78602969258347e-66	CD74/PPBP/CXCL14/CXCL16/CXCL8/CXCL10/CXCL9/CXCL5/CXCL13/PF4/CCL13/CCL8/S100A14/CCL20/CCL5/F2RL1/TNFRSF10A/TNFSF11/KLRK1/PIK3CG/CCL15/CCL14/CCL19/CCL18/CCL17/CCL26/CCL22/CCR7/CCL21/CCL7/CCL25/CCR1/CCL24/XCL2/CXCR4/OLR1/VAV1/RAC2/PIK3R2/IGHA1/IGHA2/IGHM/IGHV1-69/IGHV2-5/IGHV2-70/IGHV3-11/IGHV3-13/IGHV3-23/IGHV3-30/IGHV3-33/IGHV3-48/IGHV3-53/IGHV4-34/IGHV4-39/IGHV4-59/IGKC/IGKV1-12/IGKV1-16/IGKV1-17/IGKV1-39/IGKV1-5/IGKV1D-12/IGKV2-30/IGKV2D-30/IGKV3-15/IGKV3-20/IGKV3D-11/IGKV3D-20/IGKV4-1/IGKV5-2/IGLC2/IGLC3/IGLC6/IGLC7/IGLV1-40/IGLV1-44/IGLV1-47/IGLV1-51/IGLV2-11/IGLV2-14/IGLV2-23/IGLV2-8/IGLV3-1/IGLV3-19/IGLV3-21/IGLV3-25/IGLV3-27/IGLV6-57/IGLV7-43/C5/CXCR3/CXCR5/PTAFR/GREM1/IL1RN/MDK/SCG2/VEGFC/SDC1/SDC4/TNFRSF18/LCK	102
BP	GO:0006909	phagocytosis	90/425	369/18670	2.21952385821585e-67	6.77139737077353e-65	4.95693661668208e-65	F2RL1/MARCO/CD14/PPARG/VAV1/PIK3R2/IGHA1/IGHA2/IGHD/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/IGHV1-18/IGHV1-24/IGHV1-3/IGHV1-45/IGHV1-58/IGHV1-69/IGHV2-26/IGHV2-5/IGHV2-70/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-20/IGHV3-21/IGHV3-23/IGHV3-30/IGHV3-33/IGHV3-43/IGHV3-48/IGHV3-49/IGHV3-53/IGHV3-64/IGHV3-66/IGHV3-72/IGHV3-73/IGHV3-74/IGHV4-28/IGHV4-31/IGHV4-34/IGHV4-39/IGHV4-4/IGHV4-59/IGHV4-61/IGHV5-51/IGHV6-1/IGKC/IGKV1-12/IGKV1-16/IGKV1-17/IGKV1-39/IGKV1-5/IGKV1D-12/IGKV2-30/IGKV2D-30/IGKV3-15/IGKV3-20/IGKV3D-11/IGKV3D-20/IGKV4-1/IGKV5-2/IGLC2/IGLC3/IGLC6/IGLC7/IGLV1-40/IGLV1-44/IGLV1-47/IGLV1-51/IGLV2-11/IGLV2-14/IGLV2-23/IGLV2-8/IGLV3-1/IGLV3-19/IGLV3-21/IGLV3-25/IGLV3-27/IGLV6-57/IGLV7-43/IL2RB/IL2RG/MET/FCGR3A/CD3G/TRBC2	90
BP	GO:0002377	immunoglobulin production	67/425	193/18670	2.80167036587505e-61	7.88993477651429e-59	5.77575121580396e-59	HLA-E/IL7R/CD40LG/TNFSF4/CARD11/IGKC/IGKV1-12/IGKV1-16/IGKV1-17/IGKV1-27/IGKV1-39/IGKV1-5/IGKV1-6/IGKV1-8/IGKV1-9/IGKV1D-12/IGKV1D-13/IGKV1D-17/IGKV1D-43/IGKV1D-8/IGKV2-24/IGKV2-30/IGKV2D-29/IGKV2D-30/IGKV3-15/IGKV3-20/IGKV3D-11/IGKV3D-15/IGKV3D-20/IGKV4-1/IGKV5-2/IGKV6-21/IGKV6D-21/IGLV1-36/IGLV1-40/IGLV1-44/IGLV1-47/IGLV1-51/IGLV10-54/IGLV2-11/IGLV2-14/IGLV2-18/IGLV2-23/IGLV2-8/IGLV3-1/IGLV3-10/IGLV3-12/IGLV3-16/IGLV3-19/IGLV3-21/IGLV3-25/IGLV3-27/IGLV3-9/IGLV4-69/IGLV5-37/IGLV5-45/IGLV5-52/IGLV6-57/IGLV7-43/IGLV7-46/IGLV8-61/IGLV9-49/IL13RA2/CD28/TRAV2/TRAV9-2/TRAV19	67
BP	GO:0006910	phagocytosis, recognition	50/425	84/18670	7.24059877694028e-61	1.89341658016988e-58	1.38605748015714e-58	IGHA1/IGHA2/IGHD/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/IGHV1-18/IGHV1-24/IGHV1-3/IGHV1-45/IGHV1-58/IGHV1-69/IGHV2-26/IGHV2-5/IGHV2-70/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-20/IGHV3-21/IGHV3-23/IGHV3-30/IGHV3-33/IGHV3-43/IGHV3-48/IGHV3-49/IGHV3-53/IGHV3-64/IGHV3-66/IGHV3-72/IGHV3-73/IGHV3-74/IGHV4-28/IGHV4-31/IGHV4-34/IGHV4-39/IGHV4-4/IGHV4-59/IGHV4-61/IGHV5-51/IGHV6-1/IGKC/IGLC2/IGLC3/IGLC6/IGLC7/TRBC2	50
BP	GO:0002673	regulation of acute inflammatory response	61/425	159/18670	6.75042724055958e-59	1.64755427517924e-56	1.20607633364665e-56	HLA-E/C8G/TNFSF11/PTGS2/PIK3CG/CCR7/PPARG/IGHG1/IGHG2/IGHG3/IGHG4/IGHV1-69/IGHV2-5/IGHV2-70/IGHV3-11/IGHV3-13/IGHV3-23/IGHV3-30/IGHV3-33/IGHV3-48/IGHV3-53/IGHV4-34/IGHV4-39/IGHV4-59/IGKC/IGKV1-12/IGKV1-16/IGKV1-17/IGKV1-39/IGKV1-5/IGKV1D-12/IGKV2-30/IGKV2D-30/IGKV3-15/IGKV3-20/IGKV3D-11/IGKV3D-20/IGKV4-1/IGKV5-2/IGLC2/IGLC3/IGLC6/IGLC7/IGLV1-40/IGLV1-44/IGLV1-47/IGLV1-51/IGLV2-11/IGLV2-14/IGLV2-23/IGLV2-8/IGLV3-1/IGLV3-19/IGLV3-21/IGLV3-25/IGLV3-27/IGLV6-57/IGLV7-43/C5/OSM/IL20RB	61
BP	GO:0050851	antigen receptor-mediated signaling pathway	77/425	316/18670	2.30709733529419e-57	5.27892709032001e-55	3.86438803661776e-55	HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DRA/HLA-DRB1/HLA-DRB5/PSMC1/PSMD6/CCR7/CD79A/CARD11/BCL10/PIK3R2/IGHA1/IGHA2/IGHD/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/IGHV1-18/IGHV1-24/IGHV1-3/IGHV1-45/IGHV1-58/IGHV1-69/IGHV2-26/IGHV2-5/IGHV2-70/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-20/IGHV3-21/IGHV3-23/IGHV3-30/IGHV3-33/IGHV3-43/IGHV3-48/IGHV3-49/IGHV3-53/IGHV3-64/IGHV3-66/IGHV3-72/IGHV3-73/IGHV3-74/IGHV4-28/IGHV4-31/IGHV4-34/IGHV4-39/IGHV4-4/IGHV4-59/IGHV4-61/IGHV5-51/IGHV6-1/IGKC/IGLC2/IGLC3/IGLC6/IGLC7/CMTM3/TNFRSF21/LCK/LAT/CD3D/CD3E/CD3G/CD28/CTLA4/TRAC/TRAV8-4/TRAV19/TRAV29DV5/TRBC2/TRBV7-9	77
BP	GO:0002440	production of molecular mediator of immune response	74/425	286/18670	3.71150460841658e-57	7.99283433612535e-55	5.85107785326849e-55	CD74/HLA-E/HLA-G/BST2/F2RL1/IL7R/CD40LG/TNFSF4/CARD11/BCL10/IGKC/IGKV1-12/IGKV1-16/IGKV1-17/IGKV1-27/IGKV1-39/IGKV1-5/IGKV1-6/IGKV1-8/IGKV1-9/IGKV1D-12/IGKV1D-13/IGKV1D-17/IGKV1D-43/IGKV1D-8/IGKV2-24/IGKV2-30/IGKV2D-29/IGKV2D-30/IGKV3-15/IGKV3-20/IGKV3D-11/IGKV3D-15/IGKV3D-20/IGKV4-1/IGKV5-2/IGKV6-21/IGKV6D-21/IGLV1-36/IGLV1-40/IGLV1-44/IGLV1-47/IGLV1-51/IGLV10-54/IGLV2-11/IGLV2-14/IGLV2-18/IGLV2-23/IGLV2-8/IGLV3-1/IGLV3-10/IGLV3-12/IGLV3-16/IGLV3-19/IGLV3-21/IGLV3-25/IGLV3-27/IGLV3-9/IGLV4-69/IGLV5-37/IGLV5-45/IGLV5-52/IGLV6-57/IGLV7-43/IGLV7-46/IGLV8-61/IGLV9-49/SEMA7A/IL13RA2/TNFRSF1B/CD28/TRAV2/TRAV9-2/TRAV19	74
BP	GO:0002526	acute inflammatory response	67/425	220/18670	6.5619334487124e-57	1.33462435309645e-54	9.76998980141624e-55	HLA-E/HAMP/REG3G/C8G/TNFSF11/IL1A/PTGS2/PIK3CG/TNFSF4/SERPINA3/CCR7/PPARG/IGHG1/IGHG2/IGHG3/IGHG4/IGHV1-69/IGHV2-5/IGHV2-70/IGHV3-11/IGHV3-13/IGHV3-23/IGHV3-30/IGHV3-33/IGHV3-48/IGHV3-53/IGHV4-34/IGHV4-39/IGHV4-59/IGKC/IGKV1-12/IGKV1-16/IGKV1-17/IGKV1-39/IGKV1-5/IGKV1D-12/IGKV2-30/IGKV2D-30/IGKV3-15/IGKV3-20/IGKV3D-11/IGKV3D-20/IGKV4-1/IGKV5-2/IGLC2/IGLC3/IGLC6/IGLC7/IGLV1-40/IGLV1-44/IGLV1-47/IGLV1-51/IGLV2-11/IGLV2-14/IGLV2-23/IGLV2-8/IGLV3-1/IGLV3-19/IGLV3-21/IGLV3-25/IGLV3-27/IGLV6-57/IGLV7-43/C5/EPO/OSM/IL20RB	67
BP	GO:0002920	regulation of humoral immune response	56/425	134/18670	1.32028827989345e-56	2.46947687664263e-54	1.80775690505388e-54	LTA/CXCL13/C8G/CCR7/IGHG1/IGHG2/IGHG3/IGHG4/IGHV1-69/IGHV2-5/IGHV2-70/IGHV3-11/IGHV3-13/IGHV3-23/IGHV3-30/IGHV3-33/IGHV3-48/IGHV3-53/IGHV4-34/IGHV4-39/IGHV4-59/IGKC/IGKV1-12/IGKV1-16/IGKV1-17/IGKV1-39/IGKV1-5/IGKV1D-12/IGKV2-30/IGKV2D-30/IGKV3-15/IGKV3-20/IGKV3D-11/IGKV3D-20/IGKV4-1/IGKV5-2/IGLC2/IGLC3/IGLC6/IGLC7/IGLV1-40/IGLV1-44/IGLV1-47/IGLV1-51/IGLV2-11/IGLV2-14/IGLV2-23/IGLV2-8/IGLV3-1/IGLV3-19/IGLV3-21/IGLV3-25/IGLV3-27/IGLV6-57/IGLV7-43/C5	56
BP	GO:0051251	positive regulation of lymphocyte activation	78/425	334/18670	1.34907231720439e-56	2.46947687664263e-54	1.80775690505388e-54	CD74/HLA-DPB1/HLA-E/HLA-G/CCL5/TNFSF11/KLRK1/IL7R/CD40LG/PDCD1/TNFSF4/CCL19/CCR7/CCL21/CD86/VAV1/CARD11/BCL10/IGHA1/IGHA2/IGHD/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/IGHV1-18/IGHV1-24/IGHV1-3/IGHV1-45/IGHV1-58/IGHV1-69/IGHV2-26/IGHV2-5/IGHV2-70/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-20/IGHV3-21/IGHV3-23/IGHV3-30/IGHV3-33/IGHV3-43/IGHV3-48/IGHV3-49/IGHV3-53/IGHV3-64/IGHV3-66/IGHV3-72/IGHV3-73/IGHV3-74/IGHV4-28/IGHV4-31/IGHV4-34/IGHV4-39/IGHV4-4/IGHV4-59/IGHV4-61/IGHV5-51/IGHV6-1/IGKC/IGLC2/IGLC3/IGLC6/IGLC7/CD70/EPO/MDK/TNFSF9/IL2RA/LCK/CD3E/CD28/ICOS/CTLA4/TRBC2	78
BP	GO:0030449	regulation of complement activation	53/425	115/18670	1.99209596230014e-56	3.47288729427657e-54	2.54229389474494e-54	C8G/IGHG1/IGHG2/IGHG3/IGHG4/IGHV1-69/IGHV2-5/IGHV2-70/IGHV3-11/IGHV3-13/IGHV3-23/IGHV3-30/IGHV3-33/IGHV3-48/IGHV3-53/IGHV4-34/IGHV4-39/IGHV4-59/IGKC/IGKV1-12/IGKV1-16/IGKV1-17/IGKV1-39/IGKV1-5/IGKV1D-12/IGKV2-30/IGKV2D-30/IGKV3-15/IGKV3-20/IGKV3D-11/IGKV3D-20/IGKV4-1/IGKV5-2/IGLC2/IGLC3/IGLC6/IGLC7/IGLV1-40/IGLV1-44/IGLV1-47/IGLV1-51/IGLV2-11/IGLV2-14/IGLV2-23/IGLV2-8/IGLV3-1/IGLV3-19/IGLV3-21/IGLV3-25/IGLV3-27/IGLV6-57/IGLV7-43/C5	53
