ID	conMean	treatMean	logFC	pValue	fdr
TMSB15B	0.467355898	0.03156634	-3.888062707	2.76E-54	6.84E-53
TMSB4XP8	2.293584513	12.70608008	2.469843044	8.83E-44	2.64E-43
S100A14	5.1912824	81.14293968	3.966302694	3.09E-46	1.08E-45
LCN10	2.178842948	0.092129727	-4.563751661	1.30E-54	3.89E-53
S100A16	10.05319354	104.085245	3.372039796	5.31E-52	4.11E-51
WFIKKN1	1.000186137	0.249233685	-2.004697539	3.50E-40	8.87E-40
WFDC2	8.042257712	54.25353526	2.754044676	4.00E-42	1.10E-41
MMP9	0.97776133	15.2028339	3.958714118	1.36E-53	2.28E-52
ANOS1	0.161146038	1.414412788	3.1337626	7.29E-52	5.38E-51
FABP6	0.12873309	2.003094408	3.959775573	1.33E-30	2.52E-30
RBP1	79.47899778	12.89443395	-2.623825238	1.64E-52	1.53E-51
PLAU	2.861772261	40.68029171	3.829349252	2.67E-52	2.29E-51
PAEP	0.009736119	2.446071075	7.972903765	3.34E-46	1.17E-45
MUC5AC	0.345408222	14.13343553	5.35466596	2.40E-40	6.12E-40
NOX4	0.366796081	1.790482684	2.287298436	1.28E-40	3.31E-40
FABP3	1.195676804	5.241616215	2.132184249	3.70E-49	1.69E-48
FABP2	0.015736316	0.941841269	5.903314196	2.24E-10	2.84E-10
BPIFB1	0.08932719	5.219707424	5.868725759	9.07E-38	2.11E-37
OASL	0.291779692	5.654936108	4.276559346	2.44E-50	1.32E-49
CRABP2	1.434826125	36.17799297	4.656164551	2.36E-52	2.05E-51
C8G	0.484650772	2.021399605	2.060337097	9.82E-20	1.48E-19
PI15	0.185023689	1.421120954	2.94124745	1.36E-41	3.66E-41
NOX1	0.033232644	1.104181351	5.05423223	1.15E-56	2.16E-54
CYBB	1.987073362	8.718153199	2.133377418	5.96E-46	2.04E-45
BPIFA2	0.005486764	2.408043433	8.777690279	0.000646744	0.000715424
DUOX2	0.845177741	18.34207661	4.439758401	3.35E-43	9.73E-43
IDO1	0.30106689	2.987158713	3.310617931	3.35E-46	1.17E-45
CCL20	0.7975789	11.41109734	3.83866648	2.44E-43	7.12E-43
PLAAT4	4.304714327	32.19392922	2.902799262	4.89E-52	3.83E-51
CHIT1	0.410953019	2.109343609	2.359748749	3.97E-19	5.91E-19
TLR7	0.164169658	0.847655559	2.368290637	7.73E-41	2.01E-40
ISG15	6.241700684	54.56803854	3.128045106	2.48E-51	1.60E-50
F2R	1.922078179	17.14962957	3.157438492	3.62E-53	4.70E-52
LYZ	15.63582557	376.1586476	4.588413956	4.36E-48	1.77E-47
CCL5	2.161453018	13.6292686	2.656634761	5.73E-51	3.44E-50
CST4	0.017271625	2.344771124	7.08489944	3.46E-50	1.82E-49
TLR8	0.18309967	0.851590902	2.217531346	4.82E-33	9.75E-33
BST2	8.917960043	80.14861694	3.167891984	2.06E-52	1.84E-51
NOS2	0.082364126	0.345433178	2.068318654	4.95E-28	8.86E-28
AHNAK	8.257915742	33.35606993	2.014099714	3.89E-51	2.41E-50
FGF2	0.355959276	1.65995238	2.221357753	6.74E-43	1.92E-42
F2RL1	3.977256096	16.07072842	2.014589957	4.67E-49	2.10E-48
DMBT1	0.795400005	19.29735631	4.600578834	6.80E-35	1.45E-34
TNFRSF10A	1.065805666	4.939819295	2.21251386	4.56E-47	1.69E-46
TMPRSS6	0.231664227	1.520673851	2.714603575	3.92E-28	7.02E-28
MARCO	0.920445059	8.423439824	3.194005981	2.19E-35	4.74E-35
TNFSF11	0.136527472	2.140795319	3.970883683	2.62E-48	1.09E-47
KLRK1	0.739445382	0.142281403	-2.377696483	8.13E-46	2.76E-45
ILK	27.73909982	3.361115093	-3.044909121	9.10E-54	1.69E-52
MASP2	1.107274524	0.218994647	-2.338045439	1.91E-50	1.05E-49
IL7R	1.24368535	5.170582793	2.055705368	3.34E-33	6.78E-33
IL1A	0.064136679	0.995029546	3.955517808	8.05E-40	2.01E-39
SYTL1	35.37430195	5.826418565	-2.602020427	1.95E-51	1.29E-50
APOBEC3C	2.0910996	9.99258104	2.256595588	6.76E-50	3.41E-49
PTGS2	0.293855335	5.063755084	4.107029634	1.18E-50	6.71E-50
CD40LG	0.09770658	0.699163166	2.839101549	6.86E-39	1.66E-38
CD14	5.745592325	24.02286106	2.063880446	1.33E-48	5.67E-48
PROC	0.358115631	1.905813606	2.41190963	1.04E-44	3.28E-44
IRF9	13.1590304	1.89097604	-2.798850202	1.59E-53	2.57E-52
PIK3CG	0.203880339	1.002416601	2.297687648	5.27E-42	1.44E-41
PDCD1	0.265684064	1.086027513	2.031277051	1.19E-36	2.67E-36
PCSK1	1.343830508	7.134425328	2.408446038	0.002399492	0.002618779
AQP9	0.421067395	1.910258935	2.181645137	2.83E-34	5.92E-34
ALB	84.76105815	6.2676729	-3.757399803	3.35E-50	1.77E-49
OAS1	1.875174095	10.17989653	2.440626447	1.88E-49	8.88E-49
TNFSF4	0.364233308	1.917361783	2.396187816	8.25E-48	3.27E-47
ACTA1	2.150359617	0.274541634	-2.969481095	2.72E-31	5.26E-31
SERPINA3	121.8471173	1.551657638	-6.295118036	2.46E-53	3.55E-52
CCL15	0.10014745	1.251165878	3.643075482	9.26E-39	2.23E-38
CCL14	6.096196404	0.513381	-3.569807574	8.51E-54	1.60E-52
CCL19	1.859228922	27.63912642	3.893935696	3.06E-35	6.59E-35
CCL18	0.526113669	13.87497195	4.72096651	9.57E-53	9.98E-52
CCL17	0.197500727	5.115277318	4.694882585	1.11E-48	4.79E-48
CCL26	0.260255717	2.428875525	3.222286798	7.31E-45	2.32E-44
CCL22	0.158131949	2.655545028	4.069807204	8.93E-51	5.18E-50
CCR7	0.553821446	3.253957012	2.554702366	5.94E-41	1.56E-40
CCR8	0.026019891	0.410357927	3.979195992	1.68E-39	4.14E-39
CCL21	4.997657181	34.7925494	2.799454548	8.88E-28	1.58E-27
CCL7	0.036470877	0.390036126	3.418790971	7.44E-26	1.27E-25
CCL25	0.022706334	0.863993757	5.249854178	4.07E-10	5.15E-10
CCL4L2	0.481657297	1.947140181	2.015277826	1.39E-38	3.32E-38
CCR1	0.709338175	2.909875795	2.036412076	1.70E-44	5.28E-44
CCL24	0.161833704	8.751481324	5.756943231	4.89E-52	3.83E-51
XCL2	0.149987599	0.653943373	2.124322488	5.14E-31	9.86E-31
CXCR4	4.58943832	31.07866224	2.7595349	8.50E-51	4.95E-50
CCR4	0.077645058	1.101417796	3.826323911	1.61E-45	5.34E-45
TAFA5	1.133450855	4.601836666	2.021487939	1.21E-48	5.22E-48
LTBP1	1.799928684	13.07168552	2.860433529	1.46E-51	9.90E-51
PPARG	1.176273448	6.64531214	2.498113484	2.19E-46	7.75E-46
CD86	0.612478613	3.286931666	2.42401009	1.00E-48	4.34E-48
VDR	0.980843491	6.460890887	2.719638255	4.74E-53	5.80E-52
OLR1	1.334828898	7.662418489	2.521144997	1.54E-40	3.96E-40
CD79A	1.956206977	9.898856908	2.339202914	8.19E-44	2.45E-43
VAV1	0.779408921	3.498673479	2.166355679	4.87E-46	1.68E-45
RAC2	3.041978299	15.82960189	2.379543207	3.80E-51	2.36E-50
CARD11	0.909402231	10.60943632	3.544285654	2.99E-51	1.90E-50
BCL10	1.881199966	8.264539516	2.135281226	1.10E-55	8.07E-54
PIK3R2	4.93045368	0.267001506	-4.20680062	2.86E-53	3.98E-52
IGHA1	27.890218	667.1607648	4.580203331	1.00E-41	2.71E-41
IGHA2	8.985769084	139.3434698	3.954859595	1.83E-36	4.09E-36
IGHD	1.018825217	5.878239146	2.52847748	1.11E-21	1.74E-21
IGHE	0.023525819	0.576478964	4.614951121	1.50E-22	2.40E-22
IGHG1	9.487328379	161.8836907	4.092811952	1.55E-38	3.69E-38
IGHG2	4.28896909	115.4964176	4.751073375	2.56E-46	9.02E-46
IGHG3	2.612068934	50.6738826	4.277977496	1.15E-46	4.15E-46
IGHG4	2.23318119	220.2565072	6.623940523	3.67E-49	1.68E-48
IGHM	7.603388356	100.1172013	3.718903576	7.55E-40	1.89E-39
IGHV1-18	0.871768207	36.73162824	5.396934449	3.53E-46	1.23E-45
IGHV1-2	0.763661956	17.35121935	4.505959087	1.57E-38	3.74E-38
IGHV1-24	0.742112297	13.15853125	4.148217143	5.05E-45	1.62E-44
IGHV1-3	0.269586342	1.962702383	2.864022114	7.73E-17	1.11E-16
IGHV1-45	0.045762324	0.975884287	4.414477879	8.08E-32	1.58E-31
IGHV1-46	0.415704949	12.46368465	4.906026903	1.21E-47	4.72E-47
IGHV1-58	0.062722898	3.936480957	5.97177047	4.26E-38	1.00E-37
IGHV1-69	0.172951496	7.939521328	5.520612632	1.34E-37	3.10E-37
IGHV2-26	0.176227608	10.84392041	5.94330266	1.21E-40	3.12E-40
IGHV2-5	0.560830056	4.610340656	3.039237781	5.25E-26	8.99E-26
IGHV2-70	0.23187184	5.259250679	4.503457739	1.24E-34	2.64E-34
IGHV3-11	0.781325166	17.23764935	4.463496157	3.01E-43	8.76E-43
IGHV3-13	0.190461771	5.84454034	4.939516204	8.78E-39	2.12E-38
IGHV3-15	1.124121252	27.90451494	4.633629005	9.50E-46	3.21E-45
IGHV3-20	0.061278848	2.571679448	5.391177834	1.06E-36	2.38E-36
IGHV3-21	0.774709448	17.36653067	4.48651043	2.13E-43	6.23E-43
IGHV3-23	4.123761179	57.13716917	3.792396872	6.57E-45	2.09E-44
IGHV3-30	1.488660988	25.18214368	4.080313948	6.21E-37	1.41E-36
IGHV3-33	1.088479025	12.85293853	3.561712724	1.19E-35	2.58E-35
IGHV3-35	0.013185042	0.783879103	5.893657122	1.57E-34	3.32E-34
IGHV3-38	0.008734513	0.712143167	6.349296163	1.72E-22	2.74E-22
IGHV3-43	0.185757891	4.951213533	4.73628677	3.25E-36	7.21E-36
IGHV3-48	0.379501166	6.889085528	4.182136266	2.67E-40	6.81E-40
IGHV3-49	0.507624334	12.37459572	4.607476353	5.11E-44	1.55E-43
IGHV3-53	0.167974791	5.327570156	4.98716105	3.60E-42	9.91E-42
IGHV3-64	0.103253723	2.972897163	4.847603857	1.07E-27	1.90E-27
IGHV3-66	0.147334659	3.623393434	4.620172714	6.86E-39	1.66E-38
IGHV3-72	0.330983907	7.165141653	4.43616225	2.22E-38	5.27E-38
IGHV3-73	0.341724482	7.383173085	4.433335466	5.54E-39	1.34E-38
IGHV3-74	0.716726328	16.32601367	4.509606409	3.80E-45	1.23E-44
IGHV4-28	0.143278086	4.104510376	4.84032026	8.81E-41	2.29E-40
IGHV4-31	0.239656424	10.45941932	5.447691339	5.55E-47	2.05E-46
IGHV4-34	1.032578646	15.61187837	3.918320555	3.00E-46	1.05E-45
IGHV4-39	1.115129073	44.16761082	5.307706181	6.71E-48	2.68E-47
IGHV4-4	0.232287159	3.078992064	3.728476841	1.41E-20	2.17E-20
IGHV4-59	1.02703911	21.86205132	4.41186575	1.53E-44	4.75E-44
IGHV4-61	0.298249968	3.927343795	3.718960007	4.76E-31	9.13E-31
IGHV5-51	1.272022814	45.9203572	5.173937414	6.76E-48	2.70E-47
IGHV6-1	0.195126433	1.940252171	3.313763038	8.92E-32	1.75E-31
IGHV7-81	0.060994431	0.963537751	3.981591772	1.47E-48	6.26E-48
IGKC	33.16969611	306.7731871	3.209234693	4.06E-28	7.28E-28
IGKV1-12	0.095188474	1.851260705	4.281577382	3.39E-24	5.59E-24
IGKV1-16	0.735326424	15.70972054	4.417128877	1.10E-41	2.96E-41
IGKV1-17	0.794359621	17.96295172	4.499088338	3.28E-40	8.32E-40
IGKV1-27	0.942918996	17.25029906	4.193343726	8.96E-36	1.96E-35
IGKV1-39	0.054742755	1.218565902	4.476372431	2.98E-27	5.24E-27
IGKV1-5	2.066657204	62.87348545	4.927080728	4.35E-47	1.62E-46
IGKV1-6	0.504822657	10.58515442	4.390121845	1.72E-43	5.07E-43
IGKV1-8	0.415161909	2.281366407	2.458152188	2.09E-20	3.20E-20
IGKV1-9	0.783992098	16.83008679	4.424059694	4.63E-41	1.22E-40
IGKV1D-12	0.009954356	0.549914766	5.787736253	5.83E-21	9.02E-21
IGKV1D-13	0.245309859	2.4456061	3.317514934	3.24E-15	4.51E-15
IGKV1D-16	0.144486111	2.385888226	4.045523736	6.37E-32	1.25E-31
IGKV1D-17	0.053424204	0.867538308	4.02136206	9.67E-18	1.41E-17
IGKV1D-42	0.005855102	0.464841463	6.310900661	5.18E-16	7.30E-16
IGKV1D-43	0.011407481	0.499418938	5.452198381	5.21E-22	8.23E-22
IGKV1D-8	0.038758954	2.056937849	5.729824763	1.40E-40	3.62E-40
IGKV2-24	1.042183939	9.203885942	3.142633179	2.28E-32	4.53E-32
IGKV2-30	0.603150294	3.144293313	2.382146359	1.27E-20	1.95E-20
IGKV2D-24	0.049331987	0.922142433	4.224394314	4.01E-19	5.97E-19
IGKV2D-29	0.427745036	5.343130911	3.642862349	6.41E-30	1.20E-29
IGKV2D-30	0.043602002	0.369480524	3.08303204	0.002403259	0.00262275
IGKV2D-40	0.077586926	3.259960925	5.3928973	6.42E-34	1.33E-33
IGKV3-11	4.42569921	48.63889941	3.458133276	3.56E-37	8.11E-37
IGKV3-15	1.564869586	26.94850896	4.106091117	1.21E-41	3.26E-41
IGKV3-20	4.626550901	100.587823	4.442374792	4.59E-44	1.40E-43
IGKV3-7	0.033244411	2.060722955	5.95389494	4.47E-41	1.18E-40
IGKV3D-11	0.074278633	1.721657983	4.534707501	4.99E-40	1.26E-39
IGKV3D-15	0.055063909	2.203580929	5.322599038	3.82E-37	8.70E-37
IGKV3D-20	0.204092386	6.039508207	4.887136811	7.61E-41	1.98E-40
IGKV4-1	2.305884185	66.06927514	4.840587557	6.20E-48	2.49E-47
IGKV5-2	0.095779788	1.588159052	4.051490352	2.77E-24	4.57E-24
IGKV6-21	0.23094531	4.382337693	4.246077503	7.92E-30	1.48E-29
IGKV6D-21	0.143329773	1.661958045	3.535473732	5.66E-15	7.83E-15
IGLC2	14.6968111	136.6557347	3.216970944	3.02E-33	6.15E-33
IGLC3	8.805254926	87.81962482	3.318106693	2.02E-34	4.25E-34
IGLC6	0.050963485	0.935213197	4.197759447	1.35E-30	2.55E-30
IGLC7	0.340709563	5.390055959	3.983685903	5.43E-34	1.13E-33
IGLV1-36	0.155488165	4.347817313	4.805414642	7.72E-32	1.51E-31
IGLV1-40	2.108339083	55.72082182	4.724037718	1.47E-45	4.88E-45
IGLV1-44	1.963084599	28.55227136	3.862411266	3.91E-42	1.08E-41
IGLV1-47	1.047830452	22.0045557	4.392325042	3.89E-43	1.13E-42
IGLV1-50	0.067150967	0.735185194	3.452627639	7.61E-21	1.17E-20
IGLV1-51	2.267455003	45.60406179	4.330016499	4.00E-42	1.10E-41
IGLV10-54	0.395860023	9.378846883	4.566348272	7.60E-31	1.45E-30
IGLV2-11	1.851450801	31.14114632	4.072093934	2.12E-40	5.43E-40
IGLV2-14	3.753614742	64.7729315	4.10903855	4.78E-40	1.20E-39
IGLV2-18	0.24444569	4.609502879	4.237025297	1.41E-34	2.97E-34
IGLV2-23	1.505283012	37.06332147	4.621885514	3.70E-46	1.29E-45
IGLV2-8	1.323665817	14.73594727	3.476728965	1.04E-35	2.27E-35
IGLV3-1	1.034989369	22.43317031	4.437945665	6.73E-42	1.83E-41
IGLV3-10	0.767879459	13.66987482	4.153976365	5.18E-36	1.14E-35
IGLV3-12	0.028193707	0.639371702	4.503209831	5.08E-21	7.87E-21
IGLV3-16	0.04028927	0.752940805	4.224068864	6.10E-21	9.44E-21
IGLV3-19	1.614958275	39.04970496	4.595742852	4.13E-44	1.26E-43
IGLV3-21	0.860724881	47.76387233	5.794223821	8.62E-50	4.28E-49
IGLV3-25	1.598162754	36.58855984	4.516906388	2.99E-45	9.74E-45
IGLV3-27	0.119274222	4.972948081	5.38174719	1.17E-30	2.22E-30
IGLV3-9	0.193382822	9.123772354	5.560098898	1.50E-39	3.70E-39
IGLV4-69	0.602690561	14.63028234	4.601396332	6.39E-43	1.83E-42
IGLV5-37	0.040761223	1.328675042	5.026647155	2.32E-10	2.95E-10
IGLV5-45	0.271908642	6.836252071	4.652011684	3.27E-31	6.29E-31
IGLV5-48	0.021991423	0.399060396	4.181594217	3.48E-10	4.41E-10
IGLV5-52	1.223100657	0.270075578	-2.179108045	1.26E-28	2.29E-28
IGLV6-57	0.503022321	15.32695304	4.929304692	1.69E-47	6.48E-47
IGLV7-43	0.444535077	7.669835785	4.108826521	2.63E-37	6.03E-37
IGLV7-46	0.663933528	10.90693043	4.038062518	4.87E-39	1.18E-38
IGLV8-61	0.555114191	17.51392475	4.979574032	2.69E-31	5.19E-31
IGLV9-49	0.153881801	3.227459756	4.390504577	5.94E-33	1.20E-32
C5	5.309596461	1.113745803	-2.253182222	1.67E-47	6.43E-47
SEMA3A	0.12516504	1.130046426	3.174478483	6.82E-52	5.08E-51
SEMA3C	1.313150844	9.973718303	2.925098806	3.25E-50	1.72E-49
SEMA3E	0.219333064	1.053622286	2.264162547	1.21E-27	2.15E-27
SEMA6D	3.921688022	0.745827959	-2.394559985	7.45E-50	3.73E-49
SEMA7A	0.8905474	9.689526376	3.443661841	1.42E-49	6.86E-49
TNC	1.267263448	8.527582528	2.750420339	7.87E-48	3.12E-47
CXCR3	0.22594718	1.849558907	3.033123796	3.70E-49	1.69E-48
CXCR5	0.810808074	0.10192966	-2.991786539	5.11E-37	1.16E-36
CYSLTR2	0.082458783	0.445973551	2.435213075	1.50E-44	4.68E-44
EDNRA	0.700495361	6.816406515	3.282563975	1.45E-52	1.39E-51
PLAUR	2.361114903	16.49390309	2.804392679	9.94E-49	4.31E-48
PTAFR	0.858359688	5.476016325	2.673472519	2.07E-50	1.13E-49
AGRP	0.056639208	0.548507331	3.275637896	7.65E-38	1.78E-37
AGT	2.912252085	34.02918641	3.546565513	5.53E-40	1.39E-39
ANGPTL7	0.214890086	1.024118791	2.25271224	3.11E-06	3.63E-06
APLN	0.181955729	1.34704151	2.888134927	8.45E-43	2.40E-42
AREG	1.030160717	12.81342344	3.636714643	2.70E-49	1.25E-48
BMP4	1.447500158	9.470188349	2.709829614	4.22E-50	2.19E-49
BMP7	0.356187228	1.561890714	2.132585821	7.55E-32	1.48E-31
CALCB	0.600835535	0.068552603	-3.131686797	1.86E-50	1.02E-49
CCK	0.207723282	1.395186884	2.747723551	1.72E-09	2.15E-09
CD70	0.069103292	1.07677304	3.961815948	7.09E-48	2.83E-47
CGA	0.492476695	0.057629338	-3.095180093	2.73E-23	4.41E-23
CGB3	0.011472917	1.695865958	7.20764612	8.19E-11	1.05E-10
CGB5	0.007834355	5.887941206	9.55373297	4.74E-32	9.33E-32
CGB8	0.010409874	1.083073063	6.701034092	1.65E-29	3.06E-29
CHGB	10.39414652	77.02289267	2.889516004	0.001181946	0.001299037
CLEC11A	2.79112413	13.61627206	2.286413576	1.42E-51	9.70E-51
CMTM3	2.853419122	16.03869373	2.490793069	5.15E-51	3.11E-50
CSF2	0.03500285	1.329667472	5.247449293	6.19E-48	2.48E-47
CCN2	21.47801419	107.982464	2.329864526	4.33E-41	1.14E-40
DKK1	0.27841793	7.07781355	4.667979727	6.89E-43	1.96E-42
EGF	10.86892295	0.617370651	-4.137928273	1.00E-50	5.76E-50
EPO	2.292239791	0.230068525	-3.31662244	8.16E-50	4.07E-49
EREG	0.097142759	1.716822928	4.143490982	1.59E-33	3.26E-33
ESM1	0.310810211	3.740576999	3.589155021	1.17E-52	1.17E-51
FAM3B	41.60034466	8.710499897	-2.255768058	2.50E-48	1.04E-47
FAM3D	0.54394342	15.83387714	4.86341416	4.08E-47	1.52E-46
FGF1	0.263204069	1.518857883	2.528733186	1.11E-48	4.79E-48
FGF12	2.329032728	0.387886496	-2.586024458	3.23E-52	2.68E-51
FGF17	1.016785852	0.175762146	-2.532319566	3.15E-47	1.19E-46
FGF18	0.222748153	1.202032688	2.431990752	2.98E-48	1.23E-47
FGF19	0.067836926	4.598657075	6.082998007	1.23E-46	4.41E-46
FGF20	0.109188021	0.604277596	2.468396872	2.22E-22	3.53E-22
GAST	0.045394272	25.28794093	9.121723576	8.83E-07	1.04E-06
GDF10	3.647000043	0.350195264	-3.380478739	5.21E-50	2.67E-49
GH1	1.691210254	0.017565626	-6.58915722	1.70E-22	2.71E-22
GIP	0.002364658	0.755243564	8.319166522	2.28E-17	3.30E-17
GPHA2	16.00771157	2.059817502	-2.958178651	4.24E-43	1.23E-42
GREM1	1.152787617	9.327821407	3.016413424	5.37E-40	1.35E-39
GREM2	0.112360525	0.921725599	3.036202047	1.56E-31	3.03E-31
HBEGF	1.684504846	8.713897366	2.370993542	7.17E-52	5.31E-51
IFNE	0.039507394	0.916159701	4.535404528	1.74E-25	2.95E-25
IFNK	0.97728261	0.004033554	-7.920580414	4.07E-13	5.46E-13
IL11	0.222497394	1.579691903	2.827782867	4.45E-40	1.12E-39
IL1RN	0.961907488	10.9118759	3.503857183	2.69E-47	1.02E-46
IL24	0.318067274	1.422237845	2.160758904	3.04E-42	8.39E-42
INHBA	0.479723198	10.29102528	4.423040709	8.23E-54	1.56E-52
INS-IGF2	2.393270499	0.060516646	-5.305507625	2.69E-51	1.72E-50
INSL3	0.155276181	0.689223865	2.150136113	3.68E-44	1.12E-43
FGF7P6	1.252235911	0.037411191	-5.064892656	1.96E-54	5.23E-53
KL	0.304290689	1.552140979	2.350737507	4.97E-10	6.28E-10
LIF	1.314524736	11.46042395	3.124047218	9.86E-49	4.27E-48
LTB	2.2873797	9.783291745	2.096624095	5.10E-43	1.47E-42
LTBP2	2.808147018	15.03366699	2.420506578	5.27E-49	2.36E-48
MDK	8.835835947	58.80334256	2.734459627	1.05E-54	3.31E-53
MIA	0.658713913	7.297101068	3.469599508	3.11E-31	6.00E-31
NDP	0.046465713	0.726566809	3.966857027	2.03E-48	8.49E-48
NPPA	1.624981625	0.160686411	-3.338103569	8.25E-37	1.86E-36
NRG2	1.383551825	0.314060862	-2.139260614	1.19E-46	4.28E-46
NRG3	0.082268683	1.115650965	3.761398584	2.35E-37	5.40E-37
NRG4	8.124996095	0.477334889	-4.089293427	3.69E-52	3.00E-51
NTF4	0.045723942	0.571117479	3.642765843	2.99E-30	5.63E-30
NTS	0.07407193	4.143169343	5.805664049	2.11E-18	3.11E-18
NUDT6	1.712467703	0.34306393	-2.319527426	5.06E-52	3.94E-51
OGN	1.215456543	4.898642724	2.010883762	4.55E-17	6.53E-17
OSM	0.349582748	2.082166654	2.574379652	1.91E-41	5.11E-41
PNOC	0.112994466	0.745082328	2.721147722	1.97E-39	4.85E-39
POMC	5.316202613	0.99308368	-2.420408897	7.60E-45	2.41E-44
PRL	1.27931388	0.039984217	-4.999795831	1.23E-14	1.70E-14
PTHLH	0.326808023	1.920667999	2.555092854	2.24E-43	6.57E-43
REG1A	3303.501953	561.667067	-2.556209079	1.03E-40	2.66E-40
RETN	0.739709748	3.382942073	2.193247281	1.64E-26	2.83E-26
SCG2	3.870218698	37.44648123	3.27434316	3.26E-19	4.86E-19
SCT	0.24560068	3.296475729	3.746538001	1.09E-50	6.23E-50
STC1	1.706695218	7.950954766	2.219922668	1.67E-47	6.43E-47
TG	1.463392127	0.216666652	-2.755767378	8.10E-42	2.20E-41
