ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04672	Intestinal immune network for IgA production	14/232	49/8075	4.88513411931515e-11	8.83765172494285e-10	6.12394803473956e-10	HLA-DOA/HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DRA/HLA-DRB1/HLA-DRB5/CD40LG/CCL25/CXCR4/CD86/TNFRSF17/CD28/ICOS	14
hsa04630	JAK-STAT signaling pathway	23/232	162/8075	1.70652140303023e-10	2.8299813266918e-09	1.96100266488562e-09	IL7R/IRF9/PIK3R2/CSF2/EGF/EPO/GH1/IFNE/IFNK/IL11/IL24/LIF/OSM/PRL/CSF2RB/IL12RB2/IL13RA2/IL2RB/IL20RB/IL21R/IL22RA1/IL2RA/IL2RG	23
hsa04612	Antigen processing and presentation	16/232	78/8075	4.54215087778956e-10	6.95298480523171e-09	4.81798999992253e-09	CD74/CTSS/HLA-A/HLA-B/HLA-C/HLA-DOA/HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DRA/HLA-DRB1/HLA-DRB5/HLA-E/HLA-G/HSPA6/IFI30	16
hsa04650	Natural killer cell mediated cytotoxicity	20/232	131/8075	7.5719687052853e-10	1.07630126596555e-08	7.45810451422837e-09	HLA-A/HLA-B/HLA-C/HLA-E/HLA-G/ULBP3/ULBP2/RAET1L/TNFRSF10A/KLRK1/VAV1/RAC2/PIK3R2/CSF2/LCK/FCGR3A/NCR3/LAT/SHC2/SH2D1A	20
hsa04658	Th1 and Th2 cell differentiation	16/232	92/8075	5.82044897003418e-09	7.72179563357869e-08	5.35072852683844e-08	HLA-DOA/HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DRA/HLA-DRB1/HLA-DRB5/IL12RB2/IL2RB/IL2RA/IL2RG/LCK/LAT/CD3D/CD3E/CD3G	16
hsa04514	Cell adhesion molecules	20/232	149/8075	7.61871767063648e-09	9.47578010285412e-08	6.56613167666696e-08	HLA-A/HLA-B/HLA-C/HLA-DOA/HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DRA/HLA-DRB1/HLA-DRB5/HLA-E/HLA-G/CD40LG/PDCD1/CD86/SDC1/SDC4/CD28/ICOS/CTLA4	20
hsa04064	NF-kappa B signaling pathway	16/232	104/8075	3.6040423216743e-08	3.98446901118436e-07	2.76099148619493e-07	LTA/CXCL8/CCL13/PLAU/TNFSF11/PTGS2/CD40LG/CD14/CCL19/CCL21/CCL4L2/CARD11/BCL10/LTB/LCK/LAT	16
hsa04660	T cell receptor signaling pathway	16/232	104/8075	3.6040423216743e-08	3.98446901118436e-07	2.76099148619493e-07	CD40LG/PDCD1/VAV1/CARD11/BCL10/PIK3R2/CSF2/LCK/LAT/CD3D/CD3E/CD3G/PAK6/CD28/ICOS/CTLA4	16
hsa04659	Th17 cell differentiation	16/232	107/8075	5.45336875642377e-08	5.71168622383332e-07	3.95784657668429e-07	HLA-DOA/HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DRA/HLA-DRB1/HLA-DRB5/IL2RB/IL21R/IL2RA/IL2RG/LCK/LAT/CD3D/CD3E/CD3G	16
hsa05166	Human T-cell leukemia virus 1 infection	23/232	219/8075	6.3853464259044e-08	6.19389357712811e-07	4.29198655701551e-07	HLA-A/HLA-B/HLA-C/HLA-DOA/HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DRA/HLA-DRB1/HLA-DRB5/HLA-E/HLA-G/LTA/PIK3R2/CSF2/IL2RB/IL1R2/IL2RA/IL2RG/LCK/CD3D/CD3E/CD3G	23
hsa05169	Epstein-Barr virus infection	22/232	202/8075	6.53626960400454e-08	6.19389357712811e-07	4.29198655701551e-07	HLA-A/HLA-B/HLA-C/HLA-DOA/HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DRA/HLA-DRB1/HLA-DRB5/HLA-E/HLA-G/PSMC1/PSMD6/CXCL10/ISG15/IRF9/OAS1/PIK3R2/CD3D/CD3E/CD3G	22
hsa04145	Phagosome	18/232	152/8075	3.08802191553094e-07	2.79325618723026e-06	1.93555440638542e-06	CTSS/HLA-A/HLA-B/HLA-C/HLA-DOA/HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DRA/HLA-DRB1/HLA-DRB5/HLA-E/HLA-G/CYBB/MARCO/CD14/OLR1/FCGR3A	18
hsa05140	Leishmaniasis	12/232	77/8075	1.67652722882584e-06	1.4505605153754e-05	1.00514904794593e-05	HLA-DOA/HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DRA/HLA-DRB1/HLA-DRB5/CYBB/NOS2/IL1A/PTGS2/FCGR3A	12
hsa05310	Asthma	8/232	31/8075	1.83336370583328e-06	1.52016407275343e-05	1.05338002396561e-05	HLA-DOA/HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DRA/HLA-DRB1/HLA-DRB5/CD40LG	8
hsa05321	Inflammatory bowel disease	11/232	65/8075	1.97991136888263e-06	1.57600944963057e-05	1.09207742873105e-05	HLA-DOA/HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DRA/HLA-DRB1/HLA-DRB5/IL1A/IL12RB2/IL21R/IL2RG	11
hsa05150	Staphylococcus aureus infection	13/232	96/8075	3.16397486860907e-06	2.42165768789694e-05	1.67805954569955e-05	HLA-DOA/HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DRA/HLA-DRB1/HLA-DRB5/CAMP/DEFA3/MASP2/C5/PTAFR/FCGR3A	13
hsa04080	Neuroactive ligand-receptor interaction	26/232	341/8075	4.65816579616826e-06	3.43324071643512e-05	2.37902424677599e-05	F2R/F2RL1/C5/CYSLTR2/EDNRA/PTAFR/AGT/APLN/CALCB/CCK/CGA/GH1/GIP/INSL3/NTS/POMC/PRL/SCT/UCN2/UCN3/APLNR/CRHR2/OXTR/PTGER2/SSTR2/VIPR2	26
hsa05340	Primary immunodeficiency	8/232	38/8075	9.55108626162414e-06	6.78809345022573e-05	4.70373045215324e-05	IL7R/CD40LG/CD79A/IL2RG/LCK/CD3D/CD3E/ICOS	8
hsa04151	PI3K-Akt signaling pathway	25/232	354/8075	2.69029323211659e-05	0.000184609776962483	0.000127923199058902	F2R/FGF2/IL7R/PIK3CG/PIK3R2/TNC/AREG/EGF/EPO/EREG/FGF1/FGF17/FGF18/FGF19/FGF20/GH1/NTF4/OSM/PRL/VEGFC/FGFR1/IL2RB/IL2RA/IL2RG/MET	25
hsa05164	Influenza A	16/232	171/8075	3.03167374069038e-05	0.000201101024799129	0.00013935061755454	HLA-DOA/HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DRA/HLA-DRB1/HLA-DRB5/CXCL8/CXCL10/TLR7/CCL5/TNFRSF10A/IL1A/IRF9/OAS1/PIK3R2	16
hsa05218	Melanoma	10/232	72/8075	3.54761790940022e-05	0.000227734181926014	0.00015780575420422	FGF2/PIK3R2/EGF/FGF1/FGF17/FGF18/FGF19/FGF20/FGFR1/MET	10
hsa05152	Tuberculosis	16/232	180/8075	5.6810082216134e-05	0.000353287698781583	0.00024480660428663	CD74/CTSS/HLA-DOA/HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DRA/HLA-DRB1/HLA-DRB5/CAMP/NOS2/IL1A/CD14/VDR/BCL10/FCGR3A	16
hsa04657	IL-17 signaling pathway	11/232	94/8075	7.336670196479e-05	0.000442423445181612	0.000306572183648724	CXCL8/CXCL10/CXCL5/LCN2/MMP9/MUC5AC/CCL20/PTGS2/CCL17/CCL7/CSF2	11
hsa04668	TNF signaling pathway	12/232	112/8075	8.29146246693476e-05	0.000485294420858829	0.00033627912791593	LTA/CXCL10/CXCL5/MMP9/CCL20/CCL5/PTGS2/PIK3R2/CSF2/LIF/VEGFC/TNFRSF1B	12
hsa05167	Kaposi sarcoma-associated herpesvirus infection	16/232	193/8075	0.000130443952786344	0.000741667045842354	0.000513929558346196	HLA-A/HLA-B/HLA-C/HLA-E/HLA-G/CXCL8/FGF2/PTGS2/IRF9/PIK3CG/CCR8/CCR1/CCR4/CD86/PIK3R2/CSF2	16
hsa05322	Systemic lupus erythematosus	13/232	136/8075	0.000137132068758208	0.000758035602302316	0.000525271959278515	HLA-DOA/HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DRA/HLA-DRB1/HLA-DRB5/C8G/CD40LG/CD86/C5/FCGR3A/CD28	13
hsa04012	ErbB signaling pathway	10/232	85/8075	0.000149369105622879	0.000803363568079808	0.000556681446275879	PIK3R2/AREG/EGF/EREG/HBEGF/NRG2/NRG3/NRG4/SHC2/PAK6	10
hsa05162	Measles	13/232	139/8075	0.000170993315564074	0.000895464994664494	0.000620502059249134	HSPA6/TLR7/IL1A/IRF9/OAS1/PIK3R2/IL2RB/IL2RA/IL2RG/CD3D/CD3E/CD3G/CD28	13
hsa05145	Toxoplasmosis	11/232	112/8075	0.000354285128161498	0.00180776257702918	0.00125266806448465	HLA-DOA/HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DRA/HLA-DRB1/HLA-DRB5/HSPA6/NOS2/CD40LG/PIK3CG	11
hsa05146	Amoebiasis	10/232	102/8075	0.000664278834888565	0.00330478720357061	0.00229001387816847	CD1A/CD1C/CD1E/CXCL8/C8G/NOS2/CD14/PIK3R2/CSF2/IL1R2	10
hsa04610	Complement and coagulation cascades	9/232	85/8075	0.000703566510320241	0.00341487159887141	0.00236629558028117	PROCR/SERPIND1/PLAU/C8G/F2R/MASP2/PROC/C5/PLAUR	9
hsa04620	Toll-like receptor signaling pathway	10/232	104/8075	0.000774284304095442	0.0036686327741665	0.00254213643700509	CXCL8/CXCL10/CXCL9/TLR7/CCL5/TLR8/CD14/CCL4L2/CD86/PIK3R2	10
hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	9/232	89/8075	0.000983526069590503	0.00449414490376982	0.00311416547153582	PDCD1/PIK3R2/EGF/LCK/LAT/CD3D/CD3E/CD3G/CD28	9
hsa04014	Ras signaling pathway	16/232	232/8075	0.00102316576512027	0.00449414490376982	0.00311416547153582	FGF2/RAC2/PIK3R2/EGF/FGF1/FGF17/FGF18/FGF19/FGF20/NTF4/VEGFC/FGFR1/MET/LAT/SHC2/PAK6	16
hsa04015	Rap1 signaling pathway	15/232	210/8075	0.00102722792607897	0.00449414490376982	0.00311416547153582	F2R/FGF2/VAV1/RAC2/PIK3R2/EGF/FGF1/FGF17/FGF18/FGF19/FGF20/VEGFC/FGFR1/MET/LAT	15
hsa05224	Breast cancer	12/232	147/8075	0.00103884756569554	0.00449414490376982	0.00311416547153582	FGF2/TNFSF11/PIK3R2/EGF/FGF1/FGF17/FGF18/FGF19/FGF20/ESR2/FGFR1/SHC2	12
hsa05170	Human immunodeficiency virus 1 infection	15/232	212/8075	0.00113102406309607	0.00478880401183229	0.00331834607537704	HLA-A/HLA-B/HLA-C/HLA-E/HLA-G/BST2/APOBEC3C/CXCR4/RAC2/PIK3R2/TNFRSF1B/CD3D/CD3E/CD3G/PAK6	15
hsa04810	Regulation of actin cytoskeleton	14/232	218/8075	0.00401064563121663	0.0166274683460856	0.0115218109142408	F2R/FGF2/CXCR4/VAV1/RAC2/PIK3R2/EGF/FGF1/FGF17/FGF18/FGF19/FGF20/FGFR1/PAK6	14
hsa04010	MAPK signaling pathway	17/232	294/8075	0.00467649465634676	0.0189922946247552	0.0131604897955193	HSPA6/FGF2/IL1A/CD14/RAC2/AREG/EGF/EREG/FGF1/FGF17/FGF18/FGF19/FGF20/NTF4/VEGFC/FGFR1/MET	17
hsa05163	Human cytomegalovirus infection	14/232	225/8075	0.00530156246503208	0.0211002186108277	0.0146211512193516	HLA-A/HLA-B/HLA-C/HLA-E/HLA-G/CXCL8/CCL5/PTGS2/CCL4L2/CCR1/CXCR4/RAC2/PIK3R2/PTGER2	14
hsa04350	TGF-beta signaling pathway	8/232	94/8075	0.00547571138023945	0.0213660110719147	0.0148053290157145	HAMP/LTBP1/BMP4/BMP7/GREM1/GREM2/INHBA/AMHR2	8
hsa04360	Axon guidance	12/232	181/8075	0.00586187681737361	0.0224329516664875	0.0155446530987033	ILK/CXCR4/RAC2/PIK3R2/SEMA3A/SEMA3C/SEMA3E/SEMA6D/SEMA7A/BMP7/MET/PAK6	12
hsa04933	AGE-RAGE signaling pathway in diabetic complications	8/232	100/8075	0.00790867047856525	0.0296948193440469	0.0205766798945789	CXCL8/NOX4/NOX1/CYBB/IL1A/PIK3R2/AGT/VEGFC	8
hsa04024	cAMP signaling pathway	13/232	216/8075	0.00929435299844552	0.0342514119757529	0.0237341177933014	F2R/VAV1/RAC2/PIK3R2/EDNRA/CGA/GIP/NPPA/POMC/OXTR/PTGER2/SSTR2/VIPR2	13
hsa05226	Gastric cancer	10/232	149/8075	0.0105791187087772	0.0382771749644846	0.0265237234612403	FGF2/PIK3R2/EGF/FGF1/FGF17/FGF18/FGF19/FGF20/MET/SHC2	10
hsa04380	Osteoclast differentiation	9/232	128/8075	0.0112717729489151	0.040055050300609	0.0277556815095466	NOX1/TNFSF11/IL1A/IRF9/PPARG/PIK3R2/TNFRSF11B/LCK/FCGR3A	9
hsa05144	Malaria	5/232	50/8075	0.0138832308809395	0.0484695253562626	0.0335863941902693	CXCL8/KLRK1/CD40LG/MET/SDC1	5
