ID	logFC
KLRK1	-2.377696483
ILK	-3.044909121
MASP2	-2.338045439
IL7R	2.055705368
IL1A	3.955517808
SYTL1	-2.602020427
APOBEC3C	2.256595588
PTGS2	4.107029634
CD40LG	2.839101549
CD14	2.063880446
PROC	2.41190963
IRF9	-2.798850202
PIK3CG	2.297687648
PDCD1	2.031277051
PCSK1	2.408446038
AQP9	2.181645137
ALB	-3.757399803
OAS1	2.440626447
TNFSF4	2.396187816
ACTA1	-2.969481095
SERPINA3	-6.295118036
CCL15	3.643075482
CCL14	-3.569807574
CCL19	3.893935696
CCL18	4.72096651
CCL17	4.694882585
CCL26	3.222286798
CCL22	4.069807204
CCR7	2.554702366
CCR8	3.979195992
CCL21	2.799454548
CCL7	3.418790971
CCL25	5.249854178
CCL4L2	2.015277826
CCR1	2.036412076
CCL24	5.756943231
XCL2	2.124322488
CXCR4	2.7595349
CCR4	3.826323911
TAFA5	2.021487939
LTBP1	2.860433529
PPARG	2.498113484
CD86	2.42401009
VDR	2.719638255
OLR1	2.521144997
CD79A	2.339202914
VAV1	2.166355679
RAC2	2.379543207
CARD11	3.544285654
BCL10	2.135281226
PIK3R2	-4.20680062
IGHA1	4.580203331
IGHA2	3.954859595
IGHD	2.52847748
IGHE	4.614951121
IGHG1	4.092811952
IGHG2	4.751073375
IGHG3	4.277977496
IGHG4	6.623940523
IGHM	3.718903576
IGHV1-18	5.396934449
IGHV1-2	4.505959087
IGHV1-24	4.148217143
IGHV1-3	2.864022114
IGHV1-45	4.414477879
IGHV1-46	4.906026903
IGHV1-58	5.97177047
IGHV1-69	5.520612632
IGHV2-26	5.94330266
IGHV2-5	3.039237781
IGHV2-70	4.503457739
IGHV3-11	4.463496157
IGHV3-13	4.939516204
IGHV3-15	4.633629005
IGHV3-20	5.391177834
IGHV3-21	4.48651043
IGHV3-23	3.792396872
IGHV3-30	4.080313948
IGHV3-33	3.561712724
IGHV3-35	5.893657122
IGHV3-38	6.349296163
IGHV3-43	4.73628677
IGHV3-48	4.182136266
IGHV3-49	4.607476353
IGHV3-53	4.98716105
IGHV3-64	4.847603857
IGHV3-66	4.620172714
IGHV3-72	4.43616225
IGHV3-73	4.433335466
IGHV3-74	4.509606409
IGHV4-28	4.84032026
IGHV4-31	5.447691339
IGHV4-34	3.918320555
IGHV4-39	5.307706181
IGHV4-4	3.728476841
IGHV4-59	4.41186575
IGHV4-61	3.718960007
IGHV5-51	5.173937414
IGHV6-1	3.313763038
IGHV7-81	3.981591772
IGKC	3.209234693
IGKV1-12	4.281577382
IGKV1-16	4.417128877
IGKV1-17	4.499088338
IGKV1-27	4.193343726
IGKV1-39	4.476372431
IGKV1-5	4.927080728
IGKV1-6	4.390121845
IGKV1-8	2.458152188
IGKV1-9	4.424059694
IGKV1D-12	5.787736253
IGKV1D-13	3.317514934
IGKV1D-16	4.045523736
IGKV1D-17	4.02136206
IGKV1D-42	6.310900661
IGKV1D-43	5.452198381
IGKV1D-8	5.729824763
IGKV2-24	3.142633179
IGKV2-30	2.382146359
IGKV2D-24	4.224394314
IGKV2D-29	3.642862349
IGKV2D-30	3.08303204
IGKV2D-40	5.3928973
IGKV3-11	3.458133276
IGKV3-15	4.106091117
IGKV3-20	4.442374792
IGKV3-7	5.95389494
IGKV3D-11	4.534707501
IGKV3D-15	5.322599038
IGKV3D-20	4.887136811
IGKV4-1	4.840587557
IGKV5-2	4.051490352
IGKV6-21	4.246077503
IGKV6D-21	3.535473732
IGLC2	3.216970944
IGLC3	3.318106693
IGLC6	4.197759447
IGLC7	3.983685903
IGLV1-36	4.805414642
IGLV1-40	4.724037718
IGLV1-44	3.862411266
IGLV1-47	4.392325042
IGLV1-50	3.452627639
IGLV1-51	4.330016499
IGLV10-54	4.566348272
IGLV2-11	4.072093934
IGLV2-14	4.10903855
IGLV2-18	4.237025297
IGLV2-23	4.621885514
IGLV2-8	3.476728965
IGLV3-1	4.437945665
IGLV3-10	4.153976365
IGLV3-12	4.503209831
IGLV3-16	4.224068864
IGLV3-19	4.595742852
IGLV3-21	5.794223821
IGLV3-25	4.516906388
IGLV3-27	5.38174719
IGLV3-9	5.560098898
IGLV4-69	4.601396332
IGLV5-37	5.026647155
IGLV5-45	4.652011684
IGLV5-48	4.181594217
IGLV5-52	-2.179108045
IGLV6-57	4.929304692
IGLV7-43	4.108826521
IGLV7-46	4.038062518
IGLV8-61	4.979574032
IGLV9-49	4.390504577
C5	-2.253182222
SEMA3A	3.174478483
SEMA3C	2.925098806
SEMA3E	2.264162547
SEMA6D	-2.394559985
SEMA7A	3.443661841
TNC	2.750420339
CXCR3	3.033123796
CXCR5	-2.991786539
CYSLTR2	2.435213075
EDNRA	3.282563975
PLAUR	2.804392679
PTAFR	2.673472519
AGRP	3.275637896
AGT	3.546565513
ANGPTL7	2.25271224
APLN	2.888134927
AREG	3.636714643
BMP4	2.709829614
BMP7	2.132585821
CALCB	-3.131686797
CCK	2.747723551
CD70	3.961815948
CGA	-3.095180093
CGB3	7.20764612
CGB5	9.55373297
CGB8	6.701034092
CHGB	2.889516004
CLEC11A	2.286413576
CMTM3	2.490793069
CSF2	5.247449293
CCN2	2.329864526
DKK1	4.667979727
EGF	-4.137928273
EPO	-3.31662244
EREG	4.143490982
ESM1	3.589155021
FAM3B	-2.255768058
FAM3D	4.86341416
FGF1	2.528733186
FGF12	-2.586024458
FGF17	-2.532319566
FGF18	2.431990752
FGF19	6.082998007
FGF20	2.468396872
GAST	9.121723576
GDF10	-3.380478739
GH1	-6.58915722
GIP	8.319166522
GPHA2	-2.958178651
GREM1	3.016413424
GREM2	3.036202047
HBEGF	2.370993542
IFNE	4.535404528
IFNK	-7.920580414
IL11	2.827782867
IL1RN	3.503857183
IL24	2.160758904
INHBA	4.423040709
INS-IGF2	-5.305507625
INSL3	2.150136113
FGF7P6	-5.064892656
KL	2.350737507
LIF	3.124047218
LTB	2.096624095
LTBP2	2.420506578
MDK	2.734459627
MIA	3.469599508
NDP	3.966857027
NPPA	-3.338103569
NRG2	-2.139260614
NRG3	3.761398584
NRG4	-4.089293427
NTF4	3.642765843
NTS	5.805664049
NUDT6	-2.319527426
OGN	2.010883762
OSM	2.574379652
PNOC	2.721147722
POMC	-2.420408897
PRL	-4.999795831
PTHLH	2.555092854
REG1A	-2.556209079
RETN	2.193247281
SCG2	3.27434316
SCT	3.746538001
STC1	2.219922668
TG	-2.755767378
TNFRSF11B	3.029562391
TNFSF15	3.01852128
TNFSF9	4.414987108
UCN2	4.029142201
UCN3	2.93317082
VEGFC	2.214340278
AMHR2	-3.935485738
ANGPTL2	2.611409562
APLNR	2.712063429
CRHR2	-2.697453986
CSF2RB	2.228487286
ESR2	-2.592133809
FGFR1	-2.462270215
IL12RB2	-3.418128264
IL13RA2	3.626929789
IL2RB	2.37147029
IL1R2	2.398727367
IL20RB	3.385106364
IL21R	2.303860282
IL22RA1	-2.043377654
IL2RA	3.681506444
IL2RG	3.671357055
LGR5	4.235799058
LGR6	3.916456063
MET	2.59291307
NPR3	2.763254542
NR1I2	3.222415204
NRP2	2.494736543
OXTR	3.03759158
PTGER2	2.845307118
SDC1	3.734127943
SDC4	2.36835869
SSTR2	2.584817506
TNFRSF17	2.879729367
TNFRSF18	2.932129395
TNFRSF1B	2.129426988
TNFRSF21	3.140641022
TNFRSF9	2.414027206
VIPR2	-3.889708727
LCK	2.65690237
FCGR3A	2.265035293
NCR3	2.308804219
LAT	-4.054431182
SHC2	-2.349056551
SH2D1A	2.710889034
CD3D	2.574313596
CD3E	2.048527153
CD3G	2.01588717
PAK6	-3.916578839
CD28	2.89281173
ICOS	2.962387282
CTLA4	2.899946957
TRAC	2.386090693
TRAV2	2.846293424
TRAV4	3.050332645
TRAV8-2	3.21705294
TRAV8-3	3.626640245
TRAV8-4	3.126736042
TRAV8-6	2.918948951
TRAV9-2	3.522748325
TRAV12-1	3.214658529
TRAV12-2	2.986309644
TRAV12-3	2.933710949
TRAV13-1	3.25041068
TRAV13-2	3.086202551
TRAV17	3.213834964
TRAV19	2.854287283
TRAV21	2.89715338
TRAV29DV5	3.045945523
TRBC2	2.425168988
TRBV2	3.269759209
TRBV3-1	2.710769736
TRBV4-2	2.541998626
TRBV5-6	2.659954228
TRBV7-9	2.869902613
TRBV9	2.580402562
TRBV10-3	2.506043531
TRBV12-4	2.132903213
TRBV18	3.035921651
TRBV19	2.976784426
TRBV20-1	2.892493961
TRBV28	3.7166548
